id,title,priority,resource,dependencies,file
D01,容量、数据量与收敛：建立能承受反驳的强基线,第一批,CPU；最大模型先测吞吐,无；与D02共享数据,deficits/D01.md
D02,正确任务对称群的强对照：消除命名伪影,第一批,CPU；平均预测需8次前向，须计成本,无；U01复用此实现,deficits/D02.md
D03,同起点变化总体与候选顺序审计：去掉样本构造解释,第一批,CPU生成与前向,D01/D02可共享新银行,deficits/D03.md
D04,从像素终点改善升级为标准视觉模型的完整一致性检验,第二批·视觉主线,旧CNN CPU可行；预训练模型训练先测资源,复用D03/E；U06需要本基线,deficits/D04.md
D05,原生实用视觉语言模型：在能看懂的任务上检验组合失效,第二批·高价值但较贵,GPU或经批准API；不得假定CPU经济,D03；与U06训练迁移区别开,deficits/D05.md
D06,足球改成真正的多球员关系仪器，而不是质心跨区,第二批·足球主线,CPU为主；复用tracking,无；D07/U09共享任务,deficits/D06.md
D07,自然足球序列与独立比赛验证：拆开训练种子和生态证据,第二批·足球主线,CPU缓存与小模型,D06；也可先审现E2,deficits/D07.md
D08,最近邻修复方法的公平对打，而非继续增加阴性目录,第二批,小模型CPU；与U05共享,D01强基线；D03数据合同,deficits/D08.md
D09,独立证据而非重复确认：可复算的主claim整体验证,第一批支撑；最后确认,CPU统计；新数据由oracle生成,在选定1–2项claim后执行确认,deficits/D09.md
D10,下游决策的同覆盖、同成本与完整阈值前沿,第二批·可低成本完成,CPU，不训练网络,复用P2表；与U03不重复,deficits/D10.md
U01,保留线段归属的精确不变架构：从手工距离走向学习机制,最优先拔高,CPU小网络；与D01/D02复用,D02群库；D01强基线,upgrades/U01.md
U02,竞争解释实验：收益来自对称性、几何特征，还是训练实现？,最优先拔高,CPU小网络,D01/D02/U01；已有U4作为结果而非重跑目标,upgrades/U02.md
U03,联合正确性的三段精确分解：排序、全局阈值兼容、工作点,第一批零训练,CPU纯分数计算,复用U2归档逐quartet分数；可先实现数学原语,upgrades/U03.md
U04,冻结编码器后的交叉重训：定位排序与修复究竟发生在哪一层,第二批·机制,CPU轻量readout重训,已有四臂权重；U03测量,upgrades/U04.md
U05,把原子保持变成约束，而不是再猜一个preserve权重,第二批·方法高风险,CPU小模型,D08强对照；P3迁移表,upgrades/U05.md
U06,把坐标域关系先验迁移到图像学生：获得真正的方法推广,高上限·需资源,预训练视觉backbone训练；GPU须授权,D04强视觉基线；U01/U02可提供teacher,upgrades/U06.md
U07,表示、语义覆盖与样本量的响应面：从单点阳性到可预测规律,第二批·资源可控,CPU小模型；复用D01/U01训练,D01/U02结果；D03候选池,upgrades/U07.md
U08,面向变化的风险估计：让P1产生可使用的预测目标,第二批·低成本,CPU；必要时视觉前向缓存,D03代表性混合总体；D05可后续扩展,upgrades/U08.md
U09,足球在不完整观测下的关系决策：让真实数据承担不可替代的角色,高上限·足球升级,CPU/GPU小图模型；真实数据清洗为主要成本,D06几何任务、D07自然序列、D10决策基线,upgrades/U09.md
U10,冻结一条跨任务预测：检验训练原则能否离开线段题,第三批·只选两个目标,依目标CPU或图像GPU,U02或U07必须已给出明确预测,upgrades/U10.md
