claim_id,original_result,problem,affected_scope,corrected_result,final_wording,status,competing_explanation,source
R01,P-A/P-B/P-C all hit; cross-task positive interaction,"P-A is a flip-arm feature contrast, not an interaction",U10 task-transfer interpretation,Unrounded paired reanalysis T1 I=+.393539/+.439427/+.412628; T2 I=-.189079/-.171943/-.250363; all parent95CI exclude zero in respective directions,Distance input advantage transfers; positive J-scale interaction does not,REVISED,Headroom/task difficulty can change interaction sign,artifacts/f095_campaign/U10/U10_T1_EVAL.json;artifacts/f095_campaign/U10/U10_T2_EVAL.json;artifacts/e1a933_review/data_u10/U10_CORRECTED.json
R02,Typed target nets exactly invariant; all8 remains low after averaging,Indexed normalization breaks end-to-end symmetry; all8 is original model,U10 typed claim and D02 orbit metric labeling,18 typed clean/f25/flip runs retrained; flip J T1=.276065/.178047/.268355; T2=.339820/.318908/.340401; max logit delta T1=3.05e-5/T2=0; zero prediction differences,"Corrected role-shared pipeline restores symmetry within numerical tolerance; typed remains below distance under this recipe, not a matched architecture proof",REVISED,Optimization and preprocessing can explain weak typed runs,docs/e1a933_review/01_RESULT_CRITICAL_REPAIRS.md;artifacts/e1a933_review/data_u10/SYMMETRY_PIPELINE_AUDIT.json
R03,D03/D09 fresh parents for all models,Historical D09 parent IDs used wrong namespace; prior removal of18 quartets was not coordinate-based deduplication; old D03 exclusion used same wrong namespace,Freshness/generalization scope,"Coordinate matrix96 checkpoints x3banks: D03 N0/1838,4N391/1447,16N1838/0 seen/unseen; D09 N0/236,4N58/178,16N236/0; dev all0/237.81 manifests verified,15source-N historical inference; augmentation exact auditNOT_RUN; D03/D09 share8 real E parents(74/14quartets), so not independent banks","Treat n218 as historical erroneous-ID sensitivity, not deduplicated evidence; lineage is coordinate- and checkpoint-specific; old D03/D09 do not provide fully independent confirmations",REVISED,Seen parent with a new edit is not new-parent generalization,artifacts/f095_campaign/D09/D09_AUDIT.json;artifacts/e1a933_review/data_lineage/MODEL_BANK_OVERLAP.csv;artifacts/e1a933_review/data_lineage/D03_D09_CROSSBANK.json
R04,D03 high-confidence risk is pre-change risk,Original mask uses terminal logits,Only D03 high-confidence side fields; not original P1B automatically,Production start-logit parent mask fixed and72 arm-seed-order-edit rows reanalyzed with actual coverage and separate unconditional/start-correct denominators,D03 risks use pre-edit confidence; original P1B unaffected; candidate ordering does not identify training-order effects,REVISED,Terminal conditioning changes the selected population,reports/e1a933_review/R04_CONFIDENCE_REPORT.md;artifacts/e1a933_review/data_d03/R04_BEFORE_AFTER.csv
R05,No structured relation supervision transfers; shuffled control proves noise mechanism,Targets contain invisible endpoint naming; RNG control incomplete,U06 auxiliary-loss generalization/causal reading,"Old renderer492/512 full-orbits pixel-identical; canonical512/512. New21arm matrix complete; matched aux MSE lower but mean J=.691824 vsordered .696017/BCE .683438/shuffled .670860, differences not seed-consistent",Observation matching improves geometry learnability without established extra joint-repair gain; no general relation-supervision failure,REVISED,"Target observability, gradients and training RNG remain competing explanations",artifacts/f095_campaign/U06/;artifacts/e1a933_review/vision_regression/result.json;artifacts/e1a933_review/vision_gpu_interpretation/independent_summary.json
R06,224 gains are readability not pretraining; head-only is frozen,Upsampling adds no information; mean initialization gain remains; BN buffers updated,D04 visual attribution and probe definition,Legacy init mean delta29.80pp retained. New canonical159quartets/74parents:pretrained static/flip meanJ=.538784/.683438;random=.465409/.668763;all6 seedwise parentCI>0,Static-to-flip regimen improves canonical-image J within tested ResNet18 protocol; no cross-protocol old/new causal comparison,REVISED,"Sampling, optimization and initialization effects coexist",artifacts/f095_campaign/D04/;artifacts/e1a933_review/vision_regression/legacy_factorial.json;artifacts/e1a933_review/vision_gpu_interpretation/cuda_matrix/paired_analysis.json
R07,PCT recovery proves loss caused collapse; temperature excludes working-point account,Warm-start PCT versus scratch flip; argmax-preserving temperature identity,D08 cause and fairness; U05 closure,"30 matched300ep arms; mean J plain/protection raw=.0745/.0689,rel=.3783/.3910; signs vary; unseen old-correct atomic regression11-38%",Matched continuation does not establish consistent protection J advantage; unseen-parent regression leaves U05 open,REVISED,"Warm start, extra training and loss can all affect recovery",artifacts/f095_campaign/D08SIX/D08SIX_EVAL.json;artifacts/e1a933_review/fair/CONTINUATION_RESULTS.json
R08,3-7% rate establishes football quartet infeasibility,"Old paired means existence of keep and flip single edits, not E",D06 and dependent D07/U09 scientific closure,240 sampled events across3 matches; bounded searched E on670/1449 candidate receivers and48/155 eligible observed passes; controlled geometric proxy,E is constructible in searched real-coordinate geometry; not natural incidence or actual pass-success counterfactual,REVISED,Selected-pass geometry and perturbation search affect single-edit support,artifacts/f095_campaign/D06/;artifacts/e1a933_review/football/FOOTBALL_RESULTS.json
R09,Complete matched frontier; calibration cannot reproduce gain,Incomplete candidate breakpoints; incorrect PAVA; eval coverage drifts,D10 policy/calibration attribution,Corrected breakpoint/tie/isotonic analysis3 encoders x3seeds;43 dev/96 eval feasible scenes; dev target.5 full nine-pair table added,"Dev-selected policy extrapolation; actual eval coverage differs, no global same-coverage or calibration-exclusion claim",REVISED,"Action selection, ties, coverage and calibration remain relevant",artifacts/f095_campaign/D10/;artifacts/e1a933_review/frontier/FRONTIER_REPAIR.json
R10a,Capacity/structure/optimization ruled out; S is encoder property,Fixed-recipe failures do not exclude alternatives; S depends on head,D01/U01/U02/U04 causal narrative,O04 12 encoders x6 heads on237 old quartets/106 parents; 144 convex candidates converged. Same raw_clean_s11: S logistic_flip=.5738 vs MLP_flip=.4810,"S depends on encoder+head; exposed-bank refit supports recipe-specific relational advantage, not prospective diagnostic validation",REVISED,Convergence and readout choice remain competing explanations,artifacts/f095_campaign/U04/U04_SUMMARY.json;artifacts/e1a933_review/readout_refit_20260924/summary.json
R10b,Quarter pool saves 75% oracle queries; rerun proves RNG artifacts,Full pool already mined; RNG origin not demonstrated,U07 efficiency/collapse attribution,"O01 108 candidates,devBCE selection,1229 freshquartets/250parents; six25>raw100 all6 size-seedcells;4Nraw100=.334-.475,six100=.819-.889. Query savings/RNG cause unproven",Retained-example efficiency under tested recipe; no oracle-query or RNG-causal claim,REVISED,Data flow and training recipe may explain run differences,artifacts/f095_campaign/U07/;artifacts/e1a933_review/data_o01/O01_FACTORIAL.csv
BASE,Source relational-plus-flip joint repair and positive interaction,No identified arithmetic change from the audit,Source task four-arm comparison,Archived per-instance source rows match U1 summary; n_quartet=237/n_parent=106,Preserve source-task joint repair and scoped positive interaction,PASS,Input-specific evidence is not an architecture-wide law,artifacts/next_novelty/u1_factorial/U1_PERQUARTET.csv
N02,Larger input helps because early sampling/aliasing limits access,Input swap and retraining differ; no low-stride causal intervention,Sampling mechanism and visual scale interpretation,"12 frozen checkpoints on same64quartets/58parents; all6 train64 models J224=0; seed803 collapse retained;24,576image forwards",Input-size and phase sensitivity observed; aliasing/early-sampling mechanism remains unresolved,UNRESOLVED,Optimization/normalization/training scale/pretraining adaptation remain competing explanations,artifacts/e1a933_review/N02_sampling_summary/paired_statistics.csv;reports/e1a933_review/N02_SAMPLING_ACCESS_REPORT.md
O03,Matched static-only control missing,Old D04 cannot identify repair regimen contrast,Canonical visual protocol,21run completion and independent output check; static-to-flip J gains14.47pp pretrained/20.34pp random; full repair>migration in6cells,Visual regimen joint-repair benefit on159quartets/74parents with explicit111 regressions,REVISED,"Same2816images/88steps per epoch,1760steps total, but static/flip parent exposure distributions differ; finite regimen effect",artifacts/e1a933_review/vision_gpu_interpretation/independent_summary.json
N01,Observation-matched aux may restore joint repair,Improved auxiliary fit does not itself imply improved task J,Same canonical224 image protocol,matched devMSE lower than ordered/shuffled across seeds; J effects inconsistent; all3 matched-minus-ordered aux-error parent CI below0; analytic pixel baseline J114/159=.71698,"Supports auxiliary learnability, not stable extra joint-repair benefit",REVISED,"Approximate geometry, classifier use, optimizer and selection remain competing explanations",artifacts/e1a933_review/vision_gpu_interpretation/independent_summary.json
