claim,allowed_wording,source_file,denominator,status
fresh_conditional_composition_miss,"Atomic-correct conditional composition miss on the fresh holdout: 151/176. CCM means this miss. Not a paired repair delta.","reports/final_closure/MASTER_CLAIM_LEDGER.md","176 fresh-holdout cases",ALLOWED
raw_flip_migration_dev,"On the baseline-broken subset of the historical 237-quartet development bank, full repair is 0.03-0.10 and migration is 0.36-0.40. Migration carries 79-94% of that raw-coordinate endpoint gain. Not every repair.","reports/final_closure/MASTER_CLAIM_LEDGER.md","n110=110-120 on dev bank; 237 quartets/106 parents",ALLOWED
relflip_confirm_full_repair,"On the separate 509-quartet confirmation bank, full repair exceeds migration. Not a universal method. Not pooled with 237.","reports/final_closure/MASTER_CLAIM_LEDGER.md","509 confirmation quartets",ALLOWED
t2_interaction_negative,"Input advantage transfers to segment-disk. Positive interaction does not. The joint-scale interaction on T2 stays negative.","reports/final_closure/MASTER_CLAIM_LEDGER.md","3443 quartets/369 parents",ALLOWED
t1_input_advantage,"Distance-plus-flip exceeds raw-plus-flip on point-in-triangle. That input advantage is not a claim that positive interaction transfers to T2.","reports/final_closure/MASTER_CLAIM_LEDGER.md","2724 E quartets/322 parents",ALLOWED
o03_vision_boundary,"On the 159-quartet canonical-renderer bank, static-to-flip training raises joint correctness and full repair exceeds migration on each fixed baseline-110 subset. Matched total exposure is not matched per-parent exposure. Not pooled with the 178-quartet bank.","paper/sections/04b_boundary.tex","159 quartets/74 test parents",ALLOWED
o06_single_qwen_run,"One frozen Qwen2.5-VL-3B-Instruct run completed 272 requests and did not establish basic atomic competence. Not a statement that a native VLM was untested. Not a general native-VLM result.","paper/sections/app_f095.tex","272 requests; 64 parents plus 16 sanity images",ALLOWED
l015_g8_8d_feature,"The L015 handcrafted arm is an 8-d feature plus MLP, not a learned set network. It adds midpoint distance and an absolute direction cross. Zero swing is by construction. Identity-labeling J 0.540-0.595 on the reused dev bank. Not a fresh confirmation.","reports/final_closure/MASTER_CLAIM_LEDGER.md","237 quartets/106 parents",ALLOWED
source_typed_expressivity,"Segment-sum plus linear readout cannot represent a general crossing. The source-task typed negative does not exclude learnable relational ability. TypedTri and TypedDisk are not covered. A repaired model is not claimed to succeed on any bank.","artifacts/e832_focus/structure/EXPRESSIVITY_REPO_AUDIT.json","no bank; four-case algebraic witness",ALLOWED
n02_mac_confound,"Grid/compute configuration under fixed observation information. Unchanged information does not prove a sampling mechanism. The 12.25x MAC confound remains. Conditional joint success is not CCM.","reports/final_closure/MASTER_CLAIM_LEDGER.md","178 quartets/85 parents",ALLOWED
dev512_not_sealed,"dev512 is a repeatedly analyzed historical bank, not a sealed confirmation bank. Do not repeat an integer-ID leakage charge against it. Absence from the recorded training lists is not unseen by the investigators.","paper/sections/app_f095.tex","237 quartets; lineage rows 0/237",ALLOWED
p1_scoped_side_result,"Coordinate pre-change confidence ranks current risk classically and update risk in reverse. Not the paper's center. Not reproduced on natural football turns. Does not cause blindness.","reports/final_closure/MASTER_CLAIM_LEDGER.md","coordinate dev bank plus confirm1007; football excluded",ALLOWED
ai_use_draft,"Rendered draft only. The author must verify it. The draft does not claim item-by-item review of every AI output, code change, or number.","paper/main.tex","not an empirical denominator",ALLOWED
A_repaired_interaction_raises_J,"Nonlinear readout after the segment sum does not explain the geometry gain. Clean delta J is about +0.012 to +0.032 with all five intervals excluding zero. Flip delta J is at most about +0.015, and three of five intervals include zero. Repaired J stays about 0.017-0.046. Not a method.","artifacts/e832_focus/structure/metrics_continued.json","2188 E / 871 parents",NARROW_NEGATIVE
A_invariance_versus_extra_geometry,"On the same eight quantities, the existing G8 sort raises single-flip J by +0.061 to +0.092 versus the unsorted copy. All five parent intervals exclude zero. This is one specific invariant processing, not identical information and not a learned set network. Extra midpoint and angle without sorting were not separated from six ordered distances.","artifacts/e832_focus/structure/metrics_continued.json","2188 E / 871 parents",ALLOWED_SCOPED
A_design_transfer_T1_T2,"Not run. Source-task segment-sum insufficiency is not an automatic T1/T2 proof.","reports/e832_focus/STRUCTURE_DECISION.md","not measured",NOT_RUN
B_structure_transfer_to_vision,"Not run. Do not say a vision structure intervention succeeded or failed.","experiments/e832_focus/vision/PROTOCOL_A_ALIGNED_ABLATION.md","not measured",NOT_RUN
B_new_parent_visual_confirmation,"Not run. The existing 159-quartet table is engineering evidence that endpoint gains mostly become full repairs, not a new-parent confirmation. Do not pool it with 178.","reports/e832_focus/VISUAL_DECISION.md","159 quartets / 74 parents, already exposed",NOT_RUN
C_mac_matched_spatial_versus_budget,"Do not start. The existing N02 gap is not a completed MAC-matched sampling mechanism.","reports/e832_focus/SAMPLING_DECISION.md","178 quartets / 85 parents; 12.25x MAC confound",DO_NOT_START
C_sampling_mechanism_identified,"Not identified. Unchanged information does not prove a sampling mechanism.","reports/e832_focus/SAMPLING_DECISION.md","178 quartets / 85 parents",NOT_IDENTIFIED
route1_source_new_parent,"On the predeclared fresh source pool, rich-sorted exceeded rich-unsorted in all three model seeds under both supervision conditions. This is a source-task representation result, not cross-task confirmation.","reports/e832_focus/route1/REPORT.md","Round 2: 1414 E / 389 parents; source train/dev/test 512/128/1536",ALLOWED_SCOPED_SOURCE_ONLY
route1_T1_T2_feasibility,"The expanded new-parent round is complete: T1 is uninformative (417 E/170 parents) and T2 is negative/unstable (912 E/361 parents). Neither confirms the source ordering.","reports/e832_focus/route1/REPORT.md","T1: 417 E/170 parents; T2: 912 E/361 parents",NEGATIVE_OR_UNSTABLE_CROSS_TASK
